Name,URL,Longitude,Latitude,Country
Predigtstuhl Startplatz Schreck,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=341,12.889667,47.688917,DE
Mittelstaufen Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=343,12.833061,47.755367,DE
Kampenwand Startplatz 1 oben (Hotelhang),https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=344,12.352767,47.753283,DE
Hochfelln Oststart,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=346,12.559551,47.761675,DE
Hochplatte Startplatz (Rachelhang),https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=347,12.421020,47.767383,DE
"Blomberg Startplatz NO, NW",https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=352,11.507210,47.734460,DE
Sonnenbichlhang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=355,11.712070,47.702210,DE
Bucherhang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=358,11.720824,47.693415,DE
Hinterholzhausen Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=366,12.008450,48.419109,DE
Böhming Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=370,11.350079,48.944566,DE
Oberemmendorf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=371,11.443645,48.989488,DE
Alpspitze Startplatz Steiler Hund,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=381,10.499281,47.597308,DE
Hochgrat Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=382,10.072918,47.494154,DE
Mittag Startplatz Süd,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=386,10.215692,47.535761,DE
Grünten Startplatz West,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=387,10.308764,47.565610,DE
Hinang-Schöllang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=388,10.302429,47.470516,DE
Bettenried Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=389,10.238367,47.509707,DE
Sinswang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=390,9.996748,47.567276,DE
Urenschwang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=392,9.636769,48.367769,DE
Nebelhorn Gipfel Startplatz 6 (westl. Bergstation),https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=395,10.341541,47.421750,DE
Weiherkopf / Hörnerbahn Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=396,10.201328,47.465161,DE
Am Jordanbad,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=397,9.831948,48.079140,DE
Steurer Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=398,10.108194,47.474519,DE
Grüner Weg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=400,10.258471,47.456165,DE
Buchenberg Startplatz 1,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=408,10.810418,47.606481,DE
Scheiber / Tiroler Stadl Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=428,10.553269,47.556864,DE
Berleberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=429,10.469198,47.753405,DE
Rehlehalde / Schöner Berg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=432,10.580177,47.865926,DE
Walberla Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=437,11.151853,49.719707,DE
Auf dem Bichel / Auf der Höhe Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=438,10.519709,47.621033,DE
Hesselberg Südhang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=439,10.531683,49.066647,DE
Röhrenhalde Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=440,10.498089,47.685759,DE
Bertoldshofen Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=441,10.665450,47.787988,DE
Obergrainet Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=443,13.671670,48.801281,DE
